<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,103800,207.8000000,207.9000000,207.6700000,207.8000000
GAZP,1,20200302,103900,207.7900000,207.8500000,207.5800000,207.8000000
GAZP,1,20200302,104000,207.8100000,208.5000000,207.8000000,208.4400000
GAZP,1,20200302,104100,208.4400000,209.0000000,208.3400000,208.9500000
GAZP,1,20200302,104200,208.9500000,209.0000000,208.5500000,208.7400000
GAZP,1,20200302,104300,208.7000000,209.9000000,208.6900000,209.7000000
GAZP,1,20200302,104400,209.7000000,209.7000000,209.4200000,209.5000000
GAZP,1,20200302,104500,209.5000000,209.7000000,209.4200000,209.6200000
GAZP,1,20200302,104600,209.6300000,209.7000000,209.4200000,209.5300000
GAZP,1,20200302,104700,209.6000000,209.7000000,209.5000000,209.7000000
GAZP,1,20200302,104800,209.6900000,210.8600000,209.6900000,210.4100000
GAZP,1,20200302,104900,210.4800000,210.9500000,210.4800000,210.7200000
GAZP,1,20200302,105000,210.8000000,210.9000000,210.0000000,210.6400000
GAZP,1,20200302,105100,210.5800000,210.6900000,209.8300000,210.1600000
GAZP,1,20200302,105200,210.1200000,210.3700000,209.6200000,209.8800000
GAZP,1,20200302,105300,209.8200000,210.3000000,209.6200000,210.2200000
GAZP,1,20200302,105400,210.2200000,210.2500000,210.0100000,210.1000000
GAZP,1,20200302,105500,210.1100000,210.1100000,209.8000000,210.0000000
GAZP,1,20200302,105600,209.9900000,210.1200000,209.7900000,210.0100000
GAZP,1,20200302,105700,210.0100000,210.0900000,209.9000000,209.9600000
GAZP,1,20200302,105800,209.9000000,210.5500000,209.9000000,210.5500000
GAZP,1,20200302,105900,210.5500000,210.7000000,210.4200000,210.5000000
GAZP,1,20200302,110000,210.4200000,210.5000000,209.8100000,209.9000000
GAZP,1,20200302,110100,209.8600000,210.0000000,209.7200000,209.9500000
GAZP,1,20200302,110200,209.9500000,210.3500000,209.9200000,210.3500000
GAZP,1,20200302,110300,210.3500000,210.7400000,210.2100000,210.6500000
GAZP,1,20200302,110400,210.5800000,210.8600000,210.3300000,210.4600000
GAZP,1,20200302,110500,210.4700000,211.3400000,210.4700000,211.2100000
GAZP,1,20200302,110600,211.3200000,211.4300000,210.5900000,211.1800000
GAZP,1,20200302,110700,211.2200000,211.4400000,211.1000000,211.3300000
GAZP,1,20200302,110800,211.3400000,211.6900000,211.3200000,211.4400000
GAZP,1,20200302,110900,211.4000000,211.4400000,210.8400000,211.0000000
GAZP,1,20200302,111000,210.9700000,211.3400000,210.6200000,211.0600000
GAZP,1,20200302,111100,211.0600000,211.2700000,210.7100000,210.8200000
GAZP,1,20200302,111200,210.8100000,211.1200000,210.7300000,211.0300000
GAZP,1,20200302,111300,211.0200000,211.0200000,210.7200000,210.8000000
GAZP,1,20200302,111400,210.7700000,210.9600000,210.6100000,210.6200000
GAZP,1,20200302,111500,210.6200000,211.0000000,210.3400000,210.9200000
GAZP,1,20200302,111600,210.9100000,211.4200000,210.7800000,211.3800000
GAZP,1,20200302,111700,211.3700000,211.4800000,211.0000000,211.0000000
GAZP,1,20200302,111800,211.0100000,211.0100000,210.4700000,210.5600000
GAZP,1,20200302,111900,210.4700000,210.8300000,210.4100000,210.7600000
GAZP,1,20200302,112000,210.8800000,211.2200000,210.7100000,211.0200000
GAZP,1,20200302,112100,211.0300000,211.4400000,211.0300000,211.2900000
GAZP,1,20200302,112200,211.2900000,211.9900000,211.2200000,211.7600000
GAZP,1,20200302,112300,211.7600000,211.9800000,211.5300000,211.5500000
GAZP,1,20200302,112400,211.5200000,211.6100000,210.8600000,210.8900000
GAZP,1,20200302,112500,210.8500000,211.4400000,210.7900000,210.7900000
GAZP,1,20200302,112600,210.9100000,211.1700000,210.5900000,210.8200000
GAZP,1,20200302,112700,210.7300000,210.9600000,210.5000000,210.5200000
GAZP,1,20200302,112800,210.5100000,210.5100000,210.0100000,210.2500000
GAZP,1,20200302,112900,210.2000000,210.4800000,210.0000000,210.2000000
GAZP,1,20200302,113000,210.1900000,210.2600000,209.2600000,209.5800000
GAZP,1,20200302,113100,209.6200000,210.0000000,209.3000000,209.7600000
GAZP,1,20200302,113200,209.7600000,210.0000000,209.5700000,209.8600000
GAZP,1,20200302,113300,209.8600000,210.0000000,209.6900000,209.9200000
GAZP,1,20200302,113400,209.8800000,210.4700000,209.7000000,210.3900000
GAZP,1,20200302,113500,210.3700000,210.9000000,210.3500000,210.8700000
GAZP,1,20200302,113600,210.8700000,211.5000000,210.7200000,211.3300000
GAZP,1,20200302,113700,211.3300000,211.3800000,210.7700000,211.1200000
GAZP,1,20200302,113800,211.1300000,211.3000000,211.0000000,211.2200000
GAZP,1,20200302,113900,211.2200000,211.2500000,211.0000000,211.0700000
GAZP,1,20200302,114000,211.0100000,211.1000000,211.0000000,211.0700000
GAZP,1,20200302,114100,211.0700000,211.0700000,210.6400000,210.8100000
GAZP,1,20200302,114200,210.7900000,210.9600000,210.7900000,210.8400000
GAZP,1,20200302,114300,210.8400000,210.9000000,210.4600000,210.4600000
GAZP,1,20200302,114400,210.4600000,210.5600000,210.2500000,210.4900000
GAZP,1,20200302,114500,210.5000000,210.7300000,210.4000000,210.6500000
GAZP,1,20200302,114600,210.5900000,210.6500000,210.2300000,210.3800000
GAZP,1,20200302,114700,210.4000000,210.4900000,209.9800000,210.0000000
GAZP,1,20200302,114800,210.0400000,210.0800000,209.8400000,209.9400000
GAZP,1,20200302,114900,210.0000000,210.3900000,209.9200000,210.2500000
GAZP,1,20200302,115000,210.2500000,210.4500000,210.2000000,210.2000000
GAZP,1,20200302,115100,210.2100000,210.4500000,210.2100000,210.2100000
GAZP,1,20200302,115200,210.3100000,210.3100000,209.8000000,210.1000000
GAZP,1,20200302,115300,210.1000000,210.2900000,209.7600000,209.8200000
GAZP,1,20200302,115400,209.8100000,209.9900000,209.6500000,209.9900000
GAZP,1,20200302,115500,209.9700000,210.0000000,209.8000000,209.8100000
GAZP,1,20200302,115600,209.8700000,209.9900000,209.8000000,209.9900000
GAZP,1,20200302,115700,209.9900000,209.9900000,209.6400000,209.7600000
GAZP,1,20200302,115800,209.7000000,209.7500000,209.5900000,209.6800000
GAZP,1,20200302,115900,209.6700000,209.7000000,209.0500000,209.1500000
GAZP,1,20200302,120000,209.1400000,209.1400000,208.8500000,208.9100000
GAZP,1,20200302,120100,208.8800000,209.2400000,208.7800000,209.2200000
GAZP,1,20200302,120200,209.1400000,209.3000000,209.0500000,209.0900000
GAZP,1,20200302,120300,209.1100000,209.7000000,209.0200000,209.7000000
GAZP,1,20200302,120400,209.7000000,209.7000000,209.2400000,209.3500000
GAZP,1,20200302,120500,209.3500000,209.5000000,209.3300000,209.4500000
GAZP,1,20200302,120600,209.4500000,209.5000000,209.3300000,209.4500000
GAZP,1,20200302,120700,209.4400000,209.6500000,209.3500000,209.4700000
GAZP,1,20200302,120800,209.5000000,209.5700000,209.3400000,209.4100000
GAZP,1,20200302,120900,209.4700000,209.4800000,209.2000000,209.2800000
GAZP,1,20200302,121000,209.2700000,209.6100000,209.2000000,209.3800000
GAZP,1,20200302,121100,209.3300000,209.4500000,209.3000000,209.4000000
GAZP,1,20200302,121200,209.3400000,209.3900000,209.0100000,209.0100000
GAZP,1,20200302,121300,209.0100000,209.0100000,208.4700000,208.6100000
GAZP,1,20200302,121400,208.6600000,208.9100000,208.6600000,208.7600000
GAZP,1,20200302,121500,208.7800000,208.8000000,208.5100000,208.5700000
GAZP,1,20200302,121600,208.5900000,208.7500000,208.4700000,208.5300000
GAZP,1,20200302,121700,208.5700000,208.6900000,208.3100000,208.4400000
GAZP,1,20200302,121800,208.4400000,208.8000000,208.4100000,208.6500000
GAZP,1,20200302,121900,208.6700000,208.7800000,208.5600000,208.7800000
GAZP,1,20200302,122000,208.7800000,208.9500000,208.6100000,208.8700000
GAZP,1,20200302,122100,208.8700000,209.1600000,208.7700000,209.0900000
GAZP,1,20200302,122200,209.0300000,209.2500000,209.0300000,209.2400000
GAZP,1,20200302,122300,209.2400000,209.2500000,209.1200000,209.2200000
GAZP,1,20200302,122400,209.2200000,209.2500000,209.0600000,209.1600000
GAZP,1,20200302,122500,209.1700000,209.1700000,208.7700000,208.7700000
GAZP,1,20200302,122600,208.7500000,209.0100000,208.6200000,208.9200000
GAZP,1,20200302,122700,208.9000000,208.9900000,208.6100000,208.6100000
GAZP,1,20200302,122800,208.6600000,208.8400000,208.4600000,208.8400000
GAZP,1,20200302,122900,208.7600000,208.8500000,208.6400000,208.7400000
GAZP,1,20200302,123000,208.7600000,209.0600000,208.6900000,208.8900000
GAZP,1,20200302,123100,208.8900000,208.9400000,208.4400000,208.7400000
GAZP,1,20200302,123200,208.7200000,208.7500000,208.6300000,208.7400000
GAZP,1,20200302,123300,208.7400000,208.8900000,208.5900000,208.6300000
GAZP,1,20200302,123400,208.6000000,208.7100000,208.5600000,208.6900000
GAZP,1,20200302,123500,208.7000000,208.7000000,208.5700000,208.6300000
GAZP,1,20200302,123600,208.6300000,208.6500000,208.6000000,208.6200000
GAZP,1,20200302,123700,208.6100000,208.9900000,208.6000000,208.7700000
GAZP,1,20200302,123800,208.7700000,209.0000000,208.7700000,208.8500000
GAZP,1,20200302,123900,208.8500000,208.9000000,208.6000000,208.6200000
GAZP,1,20200302,124000,208.6200000,208.7500000,208.5100000,208.5400000
GAZP,1,20200302,124100,208.5200000,208.5600000,208.2600000,208.3600000
GAZP,1,20200302,124200,208.3200000,208.6400000,208.3000000,208.3600000
GAZP,1,20200302,124300,208.3300000,208.3400000,208.0100000,208.0500000
GAZP,1,20200302,124400,208.0500000,208.0600000,207.3700000,207.6300000
GAZP,1,20200302,124500,207.6300000,207.6300000,207.4000000,207.5000000
GAZP,1,20200302,124600,207.4800000,208.1600000,207.4600000,207.8000000
GAZP,1,20200302,124700,207.7500000,208.1500000,207.6100000,208.1500000
GAZP,1,20200302,124800,208.1400000,208.3900000,208.1400000,208.3300000
GAZP,1,20200302,124900,208.3300000,208.3500000,208.1200000,208.2200000
GAZP,1,20200302,125000,208.2100000,208.2100000,207.8000000,207.9000000
GAZP,1,20200302,125100,207.8500000,207.8500000,207.2500000,207.2500000
GAZP,1,20200302,125200,207.2800000,207.4200000,207.0000000,207.2800000
GAZP,1,20200302,125300,207.2800000,207.5000000,207.2400000,207.3100000
